cluster,model,avg_mae,median_mae,avg_accuracy,n_clients
0,LightGBM,29.16144129893708,26.050176669886813,41.71608905614234,192
0,Naïve (Lag-24h),11.749682456079919,7.422688790239402,79.60337937763883,192
0,XGBoost,9.046569457414572,6.355371879158618,81.05504801713975,192
0,XGBoost-Optuna,7.879628598149115,5.807130403942012,83.3072370185318,192
1,LightGBM,51.14491593292512,53.48233757068061,15.094476838743333,7
1,Naïve (Lag-24h),15.857728209709505,7.178485872739806,58.68250403592805,7
1,XGBoost,11.979190895629333,7.7484439969915195,55.772834167031,7
1,XGBoost-Optuna,8.177546752813557,5.503138564108468,68.97239563892772,7
2,LightGBM,57.57830757303082,57.57830757303082,0.0,2
2,Naïve (Lag-24h),8.257667031883534,8.257667031883534,44.4899427409508,2
2,XGBoost,10.19129204641027,10.19129204641027,0.0,2
2,XGBoost-Optuna,7.594822939550079,7.594822939550079,10.246744266421949,2
3,LightGBM,94.58723029539435,31.037579493527012,85.54499404308939,169
3,Naïve (Lag-24h),102.28972673124785,34.356865506059066,88.76499995269148,169
3,XGBoost,90.91987932631268,27.51466511163921,90.79078715878053,169
3,XGBoost-Optuna,90.06013570726,25.227546787582213,91.50699584148656,169
